class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
Flight,0.03676470588235294,0.025735294117647058,0.011029411764705881,7,3,10,5.426524853483829e-05,0.00010853049706967658,0.026260504201680673,0.20686694702468708,0.004846942003975398,0.003260911120769583,0.06268500715446242,0.06347425162116811,5.426524853483829e-05,8.333333333333332,0.07304339238991231,25,0.2763431377448496,2.8,29.0
LoginREST,0.029411764705882353,0.0,0.029411764705882353,0,8,8,0.0,0.0,0.0,0.00929460290459434,0.0029514686306273442,0.0030392688718075263,0.0,0.05927730021158731,0.0,0.0,0.01514419872903115,7,0.2260191975225636,11.3,0.0
CustomerSession,0.025735294117647058,0.01838235294117647,0.007352941176470588,5,2,7,0.0,0.0,0.021271008403361345,0.023395080614633846,0.00419715285680388,0.0024285201630267605,0.0058257177010016,0.062282718609615005,0.0,6.833333333333333,0.05354227712169361,14,0.22932879288102584,2.4,8.6
NewCookie,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,0.0009275584104058127,0.003928311986080424,0.0,0.00021674936685570174,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,4.4
RESTCookieSessionFilter,0.05514705882352941,0.0,0.05514705882352941,0,15,15,0.0,0.0,0.0,0.009578509508127041,0.0029514686306273442,0.0030574439655048696,0.0,0.05927730021158731,0.0,0.0,0.00602015491698445,10,0.09106354920875202,16.9,0.0
Filter,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,0.00032583131333428577,0.0031741353180255384,0.0,7.433370921426148e-05,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.5
TransactionService,0.014705882352941176,0.007352941176470588,0.007352941176470588,2,2,4,0.0,0.0,0.011488970588235295,0.008350730076150713,0.003207250538497925,0.0024285201630267605,0.00041806689764920066,0.06048062940588253,0.0,3.5,0.04616038544479872,4,0.2841591140706966,2.4,2.7
BeanManager,0.007352941176470588,0.007352941176470588,0.0,2,0,2,0.0,0.0,0.019349845201238388,0.0006367137654493408,0.0032875894198929165,0.0,0.00013715546502173748,0.060510386610588746,0.0,5.833333333333334,0.052913368398939994,1,0.5301130795676929,0.0,2.4
ServletRequest,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,0.00034755340088990483,0.0031889797638520847,0.0,7.928928982854546e-05,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.6
ServletResponse,0.003676470588235294,0.003676470588235294,0.0,1,0,1,0.0,0.0,0.003676470588235294,0.00034755340088990483,0.0031889797638520847,0.0,7.928928982854546e-05,0.05987007321370318,0.0,1.0,0.0,0,1.0,0.0,1.6
