class,degree_centrality,in_degree_centrality,out_degree_centrality,in_degree,out_degree,total_degree,betweenness_centrality,betweenness_weighted,closeness_centrality,eigenvector_centrality,pagerank,hub_score,authority_score,katz_centrality,load_centrality,harmonic_centrality,clustering,triangles,burt_constraint,weighted_out,weighted_in
OrderMapperTest,0.12941176470588234,0.0,0.12941176470588234,0,11,11,0.0,0.0,0.0,0.001577392541123447,0.007260663495100433,0.001453053809394951,-0.0,0.10442782757341751,0.0,0.0,0.0060258668880622335,7,0.2640563171573964,26.2,0.0
OrderMapper,0.07058823529411765,0.03529411764705882,0.03529411764705882,3,3,6,0.0,0.0024509803921568627,0.03676470588235294,0.0010629535644777982,0.008598825020280124,0.0011447255849032615,0.00011855021043848426,0.10758165239396228,0.0,3.8333333333333335,0.02279436138472891,12,0.2926907557420186,3.2,4.8
Timestamp,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.739836629211787e-05,0.007543352372204253,-0.0,3.1669749438676005e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
LocalDateTime,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.739836629211787e-05,0.007543352372204253,-0.0,3.1669749438676005e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
LocalDate,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,3.739836629211787e-05,0.007543352372204253,-0.0,3.1669749438676005e-05,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,1.2
ProductMapperTest,0.058823529411764705,0.0,0.058823529411764705,0,5,5,0.0,0.0,0.0,0.0010214838500396796,0.007260663495100433,0.00117720768567744,-0.0,0.10442782757341751,0.0,0.0,0.011629759858606734,4,0.3371272187962507,7.8,0.0
ProductMapper,0.058823529411764705,0.03529411764705882,0.023529411764705882,3,2,5,0.0,0.0,0.05694117647058824,0.0009745064280372935,0.009300449619519369,0.001129929776982555,8.448055486341287e-05,0.10760295775934381,0.0,6.083333333333333,0.016666666666666705,7,0.26942560264396515,2.4,3.5999999999999996
Product,0.09411764705882353,0.07058823529411765,0.023529411764705882,6,2,8,0.0,0.0,0.13873473917869036,0.0017286684564032286,0.019701749414470088,0.001129929776982555,0.0005751125728848213,0.11088400909077785,0.0,14.166666666666668,0.022924677358543585,17,0.3123349675552486,2.4,22.6
SequenceMapperTest,0.07058823529411765,0.0,0.07058823529411765,0,6,6,0.0,0.0,0.0,0.0010233300231443803,0.007260663495100433,0.0011774831711457653,-0.0,0.10442782757341751,0.0,0.0,0.010208132295760699,5,0.29383878181547024,10.4,0.0
SequenceMapper,0.07058823529411765,0.03529411764705882,0.03529411764705882,3,3,6,0.0,0.0007002801120448178,0.03676470588235294,0.0010322493610170698,0.009028294660495543,0.0011356171884572394,0.00011254406461678166,0.10758165239396228,0.0,3.8333333333333335,0.022092537380092918,12,0.3294674424418101,3.2,4.8
Sequence,0.07058823529411765,0.047058823529411764,0.023529411764705882,4,2,6,0.0,0.0,0.047058823529411764,0.0012709203103748326,0.014115641070881332,0.001129929776982555,0.00032898134806864454,0.1086574689179019,0.0,4.833333333333333,0.028203962298490242,12,0.30361948763236546,2.4,14.000000000000002
AccountServiceTest,0.058823529411764705,0.0,0.058823529411764705,0,5,5,0.0,0.0,0.0,0.0013719708751733148,0.007260663495100433,0.001370298124281084,-0.0,0.10442782757341751,0.0,0.0,0.03262593806656181,9,0.595407260533119,16.0,0.0
AccountService,0.07058823529411765,0.023529411764705882,0.047058823529411764,2,4,6,0.0005602240896358543,0.0008403361344537815,0.032679738562091505,0.0010074197291825712,0.008337015919795486,0.0011491103581265762,5.85833732406394e-05,0.10653737411822811,0.0005602240896358543,3.3333333333333335,0.020473809299332825,12,0.3375450742586554,4.4,2.4
CatalogServiceTest,0.11764705882352941,0.0,0.11764705882352941,0,10,10,0.0,0.0,0.0,0.0019324308323812943,0.007260663495100433,0.0015290254003503911,-0.0,0.10442782757341751,0.0,0.0,0.01592177812660117,20,0.22267422203348858,35.2,0.0
CatalogService,0.12941176470588234,0.047058823529411764,0.08235294117647059,4,7,11,0.003828197945845004,0.004481792717086834,0.06352941176470588,0.0012402885559854842,0.009142987524793374,0.0011698566917512651,0.0001244239470164607,0.10865736344579607,0.0038515406162464984,6.333333333333333,0.01154938104640246,23,0.18792562141315883,10.6,4.8
ArrayList,0.07058823529411765,0.07058823529411765,0.0,6,0,6,0.0,0.0,0.11550802139037432,0.0004576790541248389,0.011203843266833852,-0.0,0.0003099450622205058,0.1108521356292459,0.0,11.500000000000002,0.008838277376900485,4,0.3002039599668704,0.0,12.0
OrderServiceTest,0.15294117647058825,0.0,0.15294117647058825,0,13,13,0.0,0.0,0.0,0.0019250781620849702,0.007260663495100433,0.0014790477609210883,-0.0,0.10442782757341751,0.0,0.0,0.01470914661676145,32,0.2346703510503072,34.8,0.0
OrderService,0.1411764705882353,0.023529411764705882,0.11764705882352941,2,10,12,0.0018207282913165264,0.004201680672268907,0.026470588235294117,0.0014162594362860518,0.007847761525580012,0.0012535765869462342,7.609738182812092e-05,0.1065268269076432,0.0018207282913165264,2.5,0.013250737290427056,29,0.19741194124759553,19.0,2.4
AccountActionBeanTest,0.047058823529411764,0.0,0.047058823529411764,0,4,4,0.0,0.0,0.0,0.0013920658778928288,0.007260663495100433,0.0012803731938854136,-0.0,0.10442782757341751,0.0,0.0,0.0378254107960072,5,0.670188735001721,16.8,0.0
AccountActionBean,0.16470588235294117,0.023529411764705882,0.1411764705882353,2,12,14,0.004061624649859943,0.003711484593837535,0.026470588235294117,0.0017963225388232464,0.01323293101981762,0.0013175915863511516,0.0004385506112464845,0.1065268269076432,0.004061624649859943,2.5,0.008948595495379562,22,0.20780894394574465,22.0,16.799999999999997
CartActionBeanTest,0.08235294117647059,0.0,0.08235294117647059,0,7,7,0.0,0.0,0.0,0.0012185054355779768,0.007260663495100433,0.0012266359836902484,-0.0,0.10442782757341751,0.0,0.0,0.009797577840082615,6,0.29794878299494837,20.6,0.0
CartActionBean,0.12941176470588234,0.023529411764705882,0.10588235294117647,2,9,11,0.0026143790849673196,0.0028011204481792713,0.026470588235294117,0.001856623177495509,0.009986651455309165,0.001456273487788452,0.0002347641452162898,0.1065268269076432,0.002626050420168067,2.5,0.014941697082115157,20,0.20318272198485443,23.2,9.0
ActionBeanContext,0.023529411764705882,0.023529411764705882,0.0,2,0,2,0.0,0.0,0.0501547987616099,6.714367673234212e-05,0.009852940704194964,-0.0,5.967309658751952e-05,0.10655878391143722,0.0,5.0,0.0,0,0.5102040816326532,0.0,2.8
Resolution,0.011764705882352941,0.011764705882352941,0.0,1,0,1,0.0,0.0,0.011764705882352941,0.00020209218707359022,0.009777417866985898,-0.0,0.0001871443287463339,0.10547210584915169,0.0,1.0,0.0,0,1.0,0.0,8.4
CatalogActionBeanTest,0.03529411764705882,0.0,0.03529411764705882,0,3,3,0.0,0.0,0.0,0.002060603242937301,0.007260663495100433,0.0014671769303093284,-0.0,0.10442782757341751,0.0,0.0,0.04320534630761502,2,0.8411235104349418,26.599999999999994,0.0
CatalogActionBean,0.10588235294117647,0.011764705882352941,0.09411764705882353,1,8,9,0.00196078431372549,0.00196078431372549,0.011764705882352941,0.002475166821641655,0.012875828145442102,0.0014058597807751368,0.0006448809375612419,0.10547210584915169,0.00196078431372549,1.0,0.014311328316547214,14,0.331797103164144,21.2,24.199999999999996
OrderActionBeanTest,0.03529411764705882,0.0,0.03529411764705882,0,3,3,0.0,0.0,0.0,0.001271679081515763,0.007260663495100433,0.001165350463007863,-0.0,0.10442782757341751,0.0,0.0,0.030838500969584497,2,0.6589404237255427,11.200000000000001,0.0
